J,T,sigma_s
-1733.870968,448.15,-0.675055635
-1572.580645,448.15,-0.388441061
-1250,448.15,-2.230747077
-604.8387097,448.15,-0.289650192
-564.516129,448.15,-0.112270955
-524.1935484,448.15,-0.477343723
-443.5483871,448.15,-0.124448068
-40.32258065,448.15,-0.341684056
362.9032258,448.15,0.060124145
443.5483871,448.15,0.097400197
645.1612903,448.15,0.411502366
645.1612903,448.15,0.209208536
2701.612903,448.15,0.488604507
3104.83871,448.15,0.479206138
3346.774194,448.15,0.451713626
4072.580645,448.15,0.586247828
5846.774194,448.15,0.743451902
7016.129032,448.15,0.796922139
8225.806452,448.15,0.988002473
11572.58065,448.15,1.2586066
13951.6129,448.15,1.38710372
14112.90323,448.15,1.457937928
18427.41935,448.15,1.757530773
22862.90323,448.15,2.092218018
24596.77419,448.15,2.166905671
28427.41935,448.15,2.427198014
32580.64516,448.15,2.69286741
35000,448.15,2.806693624
39919.35484,448.15,3.110725919
45282.25806,448.15,3.429095508
48709.67742,448.15,3.585193357
53750,448.15,3.857212626
59596.77419,448.15,4.167229439
66451.6129,448.15,4.537379438
70241.93548,448.15,4.693964139
75483.87097,448.15,4.933315224
82258.06452,448.15,5.263861921
88387.09677,448.15,5.539696435
92903.22581,448.15,5.71151273
100322.5806,448.15,6.050133738
107701.6129,448.15,6.382768003
113024.1935,448.15,6.590209885
119233.871,448.15,6.81391809
127983.871,448.15,7.185210956
134919.3548,448.15,7.455681427
140846.7742,448.15,7.665331352
148467.7419,448.15,7.951194365
157419.3548,448.15,8.30276413
165080.6452,448.15,8.564172814
171572.5806,448.15,8.785120739
177701.6129,448.15,8.966592455
185080.6452,448.15,9.230899936
190806.4516,448.15,9.384301853
202016.129,448.15,9.792645571
210524.1935,448.15,10.09466907
219032.2581,448.15,10.36368018
225080.6452,448.15,10.51537611
233467.7419,448.15,10.77847423
242459.6774,448.15,11.05504689
250887.0968,448.15,11.31055797
260806.4516,448.15,11.64892161
267822.5806,448.15,11.81765255
273951.6129,448.15,11.96754746
285443.5484,448.15,12.33124756
294959.6774,448.15,12.60117321
300241.9355,448.15,12.71681472
312217.7419,448.15,13.07418145
320362.9032,448.15,13.28854631
329274.1935,448.15,13.51938952
339193.5484,448.15,13.77775945
346250,448.15,13.94429618
357096.7742,448.15,14.2508655
365201.6129,448.15,14.4464784
374758.0645,448.15,14.67857886
385282.2581,448.15,14.96125573
392137.0968,448.15,15.08215048
403104.8387,448.15,15.38744037
410564.5161,448.15,15.53820032
421653.2258,448.15,15.82556358
432701.6129,448.15,16.09471144
440604.8387,448.15,16.25098988
450322.5806,448.15,16.50514604
459072.5806,448.15,16.70246716
470201.6129,448.15,16.96609253
479435.4839,448.15,17.17322957
490120.9677,448.15,17.40448549
500362.9032,448.15,17.63844705
510362.9032,448.15,17.8517614
518588.7097,448.15,18.0324538
528790.3226,448.15,18.24184037
538548.3871,448.15,18.43520685
547661.2903,448.15,18.62382835
558346.7742,448.15,18.85829629
567983.871,448.15,19.0350863
577580.6452,448.15,19.23851829
588024.1935,448.15,19.4754052
597661.2903,448.15,19.64410045
608750,448.15,19.87602006
617862.9032,448.15,20.04434138
629153.2258,448.15,20.28633962
640120.9677,448.15,20.50712428
651411.2903,448.15,20.71431288
661088.7097,448.15,20.90684166
672016.129,448.15,21.13283219
682782.2581,448.15,21.35789857
692782.2581,448.15,21.51911805
703145.1613,448.15,21.71749584
713790.3226,448.15,21.90756223
724637.0968,448.15,22.10143893
733629.0323,448.15,22.26197611
744637.0968,448.15,22.49572735
755645.1613,448.15,22.66333852
765080.6452,448.15,22.83581698
776451.6129,448.15,23.05628778
787943.5484,448.15,23.25474606
798911.2903,448.15,23.4628494
809677.4194,448.15,23.63812117
820201.6129,448.15,23.81117004
829798.3871,448.15,23.97333066
840766.129,448.15,24.17361575
852298.3871,448.15,24.37151412
864879.0323,448.15,24.54423558
876129.0323,448.15,24.79394655
884596.7742,448.15,24.91258017
895604.8387,448.15,25.09755096
905483.871,448.15,25.25885174
917701.6129,448.15,25.46712474
930403.2258,448.15,25.68812545
940564.5161,448.15,25.85506494
952903.2258,448.15,26.05490784
962620.9677,448.15,26.19650228
973346.7742,448.15,26.36570212
983467.7419,448.15,26.53265103
994233.871,448.15,26.69707573
1006330.645,448.15,26.87568163
1016330.645,448.15,27.03934111
1027096.774,448.15,27.18763073
1038709.677,448.15,27.37853366
1049516.129,448.15,27.53637692
1061774.194,448.15,27.69481841
1072500,448.15,27.91997125
1082298.387,448.15,28.01224536
1094395.161,448.15,28.21535024
1105927.419,448.15,28.38477525
1118387.097,448.15,28.57511354
1129677.419,448.15,28.74545839
1140241.935,448.15,28.86953435
1152620.968,448.15,29.08389267
1162217.742,448.15,29.20716439
1176451.613,448.15,29.44351312
1188588.71,448.15,29.61932717
1199395.161,448.15,29.76920645
1209314.516,448.15,29.91796708
1220766.129,448.15,30.07124039
1233225.806,448.15,30.23182106
1244516.129,448.15,30.40362851
1257217.742,448.15,30.58657197
1268870.968,448.15,30.76623804
1280000,448.15,30.90951374
1291774.194,448.15,31.05681997
1302822.581,448.15,31.21370423
1314153.226,448.15,31.38529348
1326814.516,448.15,31.53070669
1338467.742,448.15,31.69560727
1349516.129,448.15,31.83142987
1359314.516,448.15,31.95908182
1371532.258,448.15,32.13559106
1382500,448.15,32.27842534
1394596.774,448.15,32.437707
1406048.387,448.15,32.58221214
1417096.774,448.15,32.69964137
1430806.452,448.15,32.90350506
1442096.774,448.15,33.05911469
1453830.645,448.15,33.21942686
1465362.903,448.15,33.3512746
1476370.968,448.15,33.52177125
1488306.452,448.15,33.66995339
1500443.548,448.15,33.81860072
1513588.71,448.15,33.9828968
1525282.258,448.15,34.13911013
1537500,448.15,34.31229003
1550685.484,448.15,34.4540719
1561411.29,448.15,34.57638533
1574072.581,448.15,34.78247121
1584516.129,448.15,34.90597393
1596774.194,448.15,35.03357125
1609435.484,448.15,35.19210772
1621250,448.15,35.35251251
1633225.806,448.15,35.46929759
1645604.839,448.15,35.61551827
1657258.065,448.15,35.78197239
1669516.129,448.15,35.93602219
1681088.71,448.15,36.03406188
1693306.452,448.15,36.19773933
1705403.226,448.15,36.32385469
1717056.452,448.15,36.50927994
1729032.258,448.15,36.63256075
1740483.871,448.15,36.76240974
1751854.839,448.15,36.89596669
1764112.903,448.15,37.02580731
1777298.387,448.15,37.20080964
1789274.194,448.15,37.32597029
1802540.323,448.15,37.49299483
1815000,448.15,37.65151603
1825483.871,448.15,37.76944595
1835806.452,448.15,37.8537103
1847459.677,448.15,37.99627095
1861169.355,448.15,38.14943538
1874153.226,448.15,38.30223535
1886250,448.15,38.45623932
1899717.742,448.15,38.62511635
1911209.677,448.15,38.74157853
1922096.774,448.15,38.86069087
1933548.387,448.15,38.96240693
1945927.419,448.15,39.09641401
1958588.71,448.15,39.22435024
1969879.032,448.15,39.36308636
1982540.323,448.15,39.51466548
1993104.839,448.15,39.61229766
2006935.484,448.15,39.77482722
2019072.581,448.15,39.90575436
2032459.677,448.15,40.07984074
2044758.065,448.15,40.19668292
2054556.452,448.15,40.28061912
2068911.29,448.15,40.45578899
2081290.323,448.15,40.60374095
2094879.032,448.15,40.73518085
2106895.161,448.15,40.88089105
2118911.29,448.15,41.00850904
2130080.645,448.15,41.11735153
2142620.968,448.15,41.25550653
2155201.613,448.15,41.36515131
2167701.613,448.15,41.51542764
2180241.935,448.15,41.62447293
2192862.903,448.15,41.76459298
2205241.935,448.15,41.87074948
2216733.871,448.15,42.00537943
2230443.548,448.15,42.14684159
2242540.323,448.15,42.28385129
2255080.645,448.15,42.41435033
2268185.484,448.15,42.55332146
2279959.677,448.15,42.64883612
2293145.161,448.15,42.81355126
2306572.581,448.15,42.95498572
2319516.129,448.15,43.08500684
2330080.645,448.15,43.18095097
2342459.677,448.15,43.30560343
2357056.452,448.15,43.47747018
2368750,448.15,43.56721941
2380564.516,448.15,43.71642391
2393024.194,448.15,43.80164632
2404435.484,448.15,43.90700374
2419596.774,448.15,44.06818275
2432016.129,448.15,44.21343308
2443024.194,448.15,44.30971137
2454919.355,448.15,44.4185773
2466895.161,448.15,44.52518089
2481693.548,448.15,44.70203268
2495000,448.15,44.815569
2506370.968,448.15,44.90784408
2518548.387,448.15,45.04485034
2531895.161,448.15,45.18798418
2542661.29,448.15,45.25012324
2555887.097,448.15,45.38026969
2571491.935,448.15,45.56379608
2581169.355,448.15,45.65010521
2593911.29,448.15,45.77795561
2608306.452,448.15,45.89918678
2618225.806,448.15,45.98374306
2633508.065,448.15,46.15186476
2645846.774,448.15,46.2444752
2657419.355,448.15,46.36994635
2671411.29,448.15,46.48910709
2685040.323,448.15,46.64496621
2697056.452,448.15,46.76545811
2708346.774,448.15,46.82900568
2719072.581,448.15,46.94222913
2733790.323,448.15,47.08586572
2746612.903,448.15,47.20070173
2761330.645,448.15,47.36906903
2770645.161,448.15,47.40087574
2785887.097,448.15,47.5934642
2798911.29,448.15,47.67071978
2811935.484,448.15,47.80107811
2825201.613,448.15,47.92696775
2836411.29,448.15,48.02518409
2848548.387,448.15,48.14216439
2861209.677,448.15,48.23513023
2874435.484,448.15,48.35839696
2888669.355,448.15,48.50645589
2901935.484,448.15,48.63262737
2913951.613,448.15,48.73221669
2927741.935,448.15,48.85488399
2937983.871,448.15,48.94156631
2953064.516,448.15,49.07851033
2965645.161,448.15,49.1907394
2977217.742,448.15,49.29703493
2989153.226,448.15,49.41231105
3002661.29,448.15,49.51592723
3015766.129,448.15,49.65806696
3029233.871,448.15,49.73877566
3041854.839,448.15,49.88665168
3055362.903,448.15,49.9817754
3065806.452,448.15,50.03877777
3080040.323,448.15,50.1597474
3094556.452,448.15,50.3420957
3106411.29,448.15,50.41465357
3118669.355,448.15,50.52293581
3133830.645,448.15,50.65714729
3143991.935,448.15,50.75809882
3157943.548,448.15,50.85354847
3172056.452,448.15,50.9986527
3183024.194,448.15,51.06257623
3195846.774,448.15,51.16616398
3210685.484,448.15,51.33482784
3222459.677,448.15,51.42220175
3235362.903,448.15,51.5176293
3248588.71,448.15,51.64575
3264233.871,448.15,51.78447523
3275201.613,448.15,51.85569977
3286290.323,448.15,51.94499868
-2419.354839,298.15,-1.187892552
-2379.032258,298.15,-0.296538831
-2137.096774,298.15,-1.974042706
-2096.774194,298.15,-0.680640956
-1895.16129,298.15,-0.413381694
-1209.677419,298.15,-0.238861853
-1169.354839,298.15,-0.129177253
-1088.709677,298.15,-0.166055369
-685.483871,298.15,-0.071626971
-483.8709677,298.15,-0.118824865
-483.8709677,298.15,-0.064172714
-403.2258065,298.15,-4.195329263
-161.2903226,298.15,-0.267016971
-80.64516129,298.15,-0.007671707
201.6129032,298.15,0.028436461
282.2580645,298.15,0.046577847
322.5806452,298.15,0.057728322
564.516129,298.15,0.157869438
645.1612903,298.15,0.250663023
645.1612903,298.15,0.064633638
1008.064516,298.15,0.639749551
1129.032258,298.15,0.131870357
1975.806452,298.15,0.179693159
2016.129032,298.15,0.17544624
3225.806452,298.15,0.260458741
4879.032258,298.15,0.409224416
5362.903226,298.15,0.40381797
6854.83871,298.15,0.533945848
10282.25806,298.15,0.748066205
11048.3871,298.15,0.778444488
14153.22581,298.15,0.970327308
16088.70968,298.15,1.071046185
19354.83871,298.15,1.254480031
25241.93548,298.15,1.594067326
27459.67742,298.15,1.69125188
29677.41935,298.15,1.787615323
33709.67742,298.15,1.979365083
37943.54839,298.15,2.182750624
44072.58065,298.15,2.481054905
46572.58065,298.15,2.564153583
49677.41935,298.15,2.685835783
56370.96774,298.15,2.988885188
61169.35484,298.15,3.184435512
64637.09677,298.15,3.302211539
73225.80645,298.15,3.670931328
75927.41935,298.15,3.751221919
83508.06452,298.15,4.057612455
88024.19355,298.15,4.203372568
93991.93548,298.15,4.427389208
102258.0645,298.15,4.745300097
106854.8387,298.15,4.887239687
113306.4516,298.15,5.101541389
122096.7742,298.15,5.432372254
127016.129,298.15,5.568343977
135927.4194,298.15,5.881274718
141532.2581,298.15,6.048302694
147419.3548,298.15,6.222673973
156572.5806,298.15,6.535264142
162983.871,298.15,6.717573406
170040.3226,298.15,6.924499127
178427.4194,298.15,7.185965851
185604.8387,298.15,7.39933994
191370.9677,298.15,7.55202363
200967.7419,298.15,7.835101726
209193.5484,298.15,8.079666238
219354.8387,298.15,8.389449441
225282.2581,298.15,8.531851381
233306.4516,298.15,8.754266066
243870.9677,298.15,9.062587667
251895.1613,298.15,9.268555908
260524.1935,298.15,9.502296563
269758.0645,298.15,9.749686633
278588.7097,298.15,9.984575699
286250,298.15,10.15367606
293387.0968,298.15,10.33862792
302620.9677,298.15,10.57332582
313427.4194,298.15,10.86473507
321854.8387,298.15,11.07484961
333064.5161,298.15,11.35861388
341774.1935,298.15,11.57528705
350403.2258,298.15,11.7854787
359758.0645,298.15,11.9930729
369072.5806,298.15,12.22963516
379112.9032,298.15,12.46027329
387983.871,298.15,12.67289874
396491.9355,298.15,12.85689431
406653.2258,298.15,13.11192049
417822.5806,298.15,13.37679544
428064.5161,298.15,13.61268248
438669.3548,298.15,13.85343034
447580.6452,298.15,14.04723818
457056.4516,298.15,14.26345503
470000,298.15,14.54556597
476975.8065,298.15,14.68779465
489596.7742,298.15,14.98853155
497903.2258,298.15,15.15574993
509596.7742,298.15,15.41003409
519516.129,298.15,15.63377391
531370.9677,298.15,15.874591
540282.2581,298.15,16.04994975
552459.6774,298.15,16.32991712
561008.0645,298.15,16.49793639
573709.6774,298.15,16.76867386
582338.7097,298.15,16.94679559
593709.6774,298.15,17.16738882
604072.5806,298.15,17.38504955
616411.2903,298.15,17.63734478
627822.5806,298.15,17.88260098
637620.9677,298.15,18.06738722
649193.5484,298.15,18.30466208
661532.2581,298.15,18.5445675
671854.8387,298.15,18.74403049
681250,298.15,18.91991324
693870.9677,298.15,19.17856797
702943.5484,298.15,19.34407705
716088.7097,298.15,19.60100211
726370.9677,298.15,19.79623036
737903.2258,298.15,20.01736467
748709.6774,298.15,20.21020152
759516.129,298.15,20.41210857
771411.2903,298.15,20.64155487
782096.7742,298.15,20.83548554
796209.6774,298.15,21.10013669
804596.7742,298.15,21.24378188
816693.5484,298.15,21.47437767
829637.0968,298.15,21.71288224
840524.1935,298.15,21.90782628
851693.5484,298.15,22.11544319
863548.3871,298.15,22.35206894
875524.1935,298.15,22.55774364
887741.9355,298.15,22.76544272
897379.0323,298.15,22.92246519
912056.4516,298.15,23.20262063
919354.8387,298.15,23.30767751
934717.7419,298.15,23.58612367
944153.2258,298.15,23.78259207
955080.6452,298.15,23.93789161
967580.6452,298.15,24.15523159
981411.2903,298.15,24.38234596
994233.871,298.15,24.63090356
1004112.903,298.15,24.79748299
1015564.516,298.15,24.96512817
1027096.774,298.15,25.17141693
1039717.742,298.15,25.38339144
1052137.097,298.15,25.59379384
1064153.226,298.15,25.79158712
1077137.097,298.15,26.00771309
1088750,298.15,26.21800341
1101250,298.15,26.4308642
1113629.032,298.15,26.61520583
1125120.968,298.15,26.8111842
1138104.839,298.15,27.03402832
1149717.742,298.15,27.22016702
1160362.903,298.15,27.36786667
1173024.194,298.15,27.58162879
1184596.774,298.15,27.75795319
1197096.774,298.15,27.95359039
1208870.968,298.15,28.15181576
1222419.355,298.15,28.3733663
1236169.355,298.15,28.59154622
1246935.484,298.15,28.74682011
1260120.968,298.15,28.96245863
1272903.226,298.15,29.16079259
1285725.806,298.15,29.36815336
1297096.774,298.15,29.54231284
1309032.258,298.15,29.71894733
1321129.032,298.15,29.92116074
1333951.613,298.15,30.11852246
1346411.29,298.15,30.29279697
1357661.29,298.15,30.4603494
1370604.839,298.15,30.65146606
1383870.968,298.15,30.86787217
1397580.645,298.15,31.08066597
1409112.903,298.15,31.22964283
1422379.032,298.15,31.44679523
1436411.29,298.15,31.66736661
1448750,298.15,31.84073266
1460766.129,298.15,32.02273884
1473306.452,298.15,32.19707761
1484959.677,298.15,32.37340152
1498911.29,298.15,32.5922307
1511290.323,298.15,32.73290876
1524072.581,298.15,32.9708987
1536209.677,298.15,33.14269625
1549032.258,298.15,33.27689413
1560806.452,298.15,33.46606299
1574516.129,298.15,33.67038489
1586733.871,298.15,33.8415029
1599556.452,298.15,34.04353035
1612500,298.15,34.21968955
1624919.355,298.15,34.40693095
1637580.645,298.15,34.59558281
1651572.581,298.15,34.76918689
1664516.129,298.15,34.97513574
1677580.645,298.15,35.15484923
1690322.581,298.15,35.35191053
1700645.161,298.15,35.4690603
1714354.839,298.15,35.67303521
1729798.387,298.15,35.87668395
1740645.161,298.15,36.02323123
1755604.839,298.15,36.22950189
1768306.452,298.15,36.402644
1780080.645,298.15,36.54369575
1795483.871,298.15,36.78915837
1807580.645,298.15,36.93514773
1818266.129,298.15,37.07243122
1832661.29,298.15,37.27021213
1846693.548,298.15,37.51280906
1858750,298.15,37.63492396
1873951.613,298.15,37.84483643
1883588.71,298.15,37.97098258
1898830.645,298.15,38.18454196
1909193.548,298.15,38.3304262
1922983.871,298.15,38.48818879
1937419.355,298.15,38.70278406
1950282.258,298.15,38.86471489
1964072.581,298.15,39.03052969
1974637.097,298.15,39.15717919
1991411.29,298.15,39.43405894
2003830.645,298.15,39.58395229
2015362.903,298.15,39.69510731
2030241.935,298.15,39.92068209
2043709.677,298.15,40.08128964
2058024.194,298.15,40.29880893
2068064.516,298.15,40.36642525
2081250,298.15,40.55705433
2095403.226,298.15,40.76451444
2108830.645,298.15,40.89348538
2121209.677,298.15,41.09008444
2134435.484,298.15,41.25973004
2150443.548,298.15,41.47496039
2160403.226,298.15,41.56987159
2177459.677,298.15,41.80217388
2187056.452,298.15,41.89848586
2203387.097,298.15,42.12948244
2217177.419,298.15,42.28309782
2228548.387,298.15,42.43778422
2241733.871,298.15,42.6285552
2256169.355,298.15,42.79242844
2268306.452,298.15,42.93257163
2283951.613,298.15,43.16527925
2295887.097,298.15,43.28397203
2307741.935,298.15,43.38749095
2323185.484,298.15,43.6076045
2334354.839,298.15,43.76069001
2349879.032,298.15,43.95312668
2361733.871,298.15,44.09677461
2374072.581,298.15,44.23255749
2389838.71,298.15,44.44384602
2402822.581,298.15,44.6020617
2414838.71,298.15,44.72496088
2431008.065,298.15,44.93665461
2442903.226,298.15,45.07266367
2457822.581,298.15,45.25123546
2469798.387,298.15,45.40597977
2481612.903,298.15,45.51716965
2497379.032,298.15,45.73623401
2510201.613,298.15,45.87662292
2524758.065,298.15,46.07535923
2536733.871,298.15,46.20062376
2552620.968,298.15,46.39908749
2563508.065,298.15,46.48464765
2578951.613,298.15,46.70060826
2590322.581,298.15,46.85492054
2605000,298.15,47.0184506
2617217.742,298.15,47.15337427
2633991.935,298.15,47.393002
2646008.065,298.15,47.50268256
2663145.161,298.15,47.68774483
2672096.774,298.15,47.78515372
2687379.032,298.15,47.96433788
2700403.226,298.15,48.13978657
2715443.548,298.15,48.31335432
2726250,298.15,48.41348136
2742096.774,298.15,48.59344773
2753790.323,298.15,48.75684668
2768427.419,298.15,48.90525761
2784112.903,298.15,49.11155059
2795322.581,298.15,49.22518411
2808830.645,298.15,49.38113149
2823830.645,298.15,49.52834046
2837620.968,298.15,49.68121685
2851491.935,298.15,49.84543026
2864637.097,298.15,49.99279205
2876451.613,298.15,50.1231463
2893548.387,298.15,50.3147944
2904516.129,298.15,50.42227998
2920403.226,298.15,50.60710975
2932338.71,298.15,50.74301684
2946935.484,298.15,50.94808093
2959556.452,298.15,51.02120969
2974354.839,298.15,51.24465356
2987177.419,298.15,51.36962844
3002500,298.15,51.50584257
3013024.194,298.15,51.6411544
3030725.806,298.15,51.83169243
3042338.71,298.15,52.00473189
3057177.419,298.15,52.12487121
3068911.29,298.15,52.24413189
3085040.323,298.15,52.44417797
3097298.387,298.15,52.53773662
3113467.742,298.15,52.75163864
3124475.806,298.15,52.85315369
3138911.29,298.15,53.0184608
3153951.613,298.15,53.15418535
3168185.484,298.15,53.33653358
3181693.548,298.15,53.48451373
3195403.226,298.15,53.65350235
3208629.032,298.15,53.76697544
3222943.548,298.15,53.92552837
3237096.774,298.15,54.07183553
3248911.29,298.15,54.19613734
3264677.419,298.15,54.3923749
3277580.645,298.15,54.49442346
3292500,298.15,54.67719025
3305967.742,298.15,54.83325489
3320282.258,298.15,55.0141157
3334233.871,298.15,55.12281303
3346532.258,298.15,55.23431456
3360806.452,298.15,55.37485871
3376733.871,298.15,55.58642574
-2217.741935,373.15,-25.02482844
-1935.483871,373.15,-0.293943559
-1895.16129,373.15,-3.083913667
-1733.870968,373.15,-0.829410455
-1209.677419,373.15,-0.239239774
-887.0967742,373.15,-0.345409222
-766.1290323,373.15,-0.126712177
-604.8387097,373.15,-0.108003643
-524.1935484,373.15,-0.332579111
-483.8709677,373.15,-0.105461348
0,373.15,0
282.2580645,373.15,0.091883247
322.5806452,373.15,0.08995783
362.9032258,373.15,0.048336194
443.5483871,373.15,0.108716153
1008.064516,373.15,0.911683666
1169.354839,373.15,0.137317972
1290.322581,373.15,0.16166137
1693.548387,373.15,0.178841952
1854.83871,373.15,0.206748351
2983.870968,373.15,0.300879475
5564.516129,373.15,0.534513049
8790.322581,373.15,0.811099739
10322.58065,373.15,0.914384208
10766.12903,373.15,0.917751722
13709.67742,373.15,1.127055285
16491.93548,373.15,1.311863878
18548.3871,373.15,1.429349778
21612.90323,373.15,1.613873766
24435.48387,373.15,1.765933243
27217.74194,373.15,1.915613191
31290.32258,373.15,2.140061059
35000,373.15,2.332060182
39193.54839,373.15,2.550498728
45403.22581,373.15,2.886176233
49435.48387,373.15,3.066309811
53790.32258,373.15,3.264189439
58346.77419,373.15,3.468141156
62338.70968,373.15,3.630142191
69072.58065,373.15,3.941905361
72338.70968,373.15,4.049475683
78830.64516,373.15,4.328523305
85483.87097,373.15,4.608782472
91693.54839,373.15,4.857087918
97540.32258,373.15,5.072126087
103870.9677,373.15,5.318293339
108629.0323,373.15,5.480350099
113991.9355,373.15,5.661088219
122661.2903,373.15,5.991188284
128467.7419,373.15,6.188237564
136088.7097,373.15,6.461383682
142016.129,373.15,6.644902699
148387.0968,373.15,6.853146177
157177.4194,373.15,7.17248529
164677.4194,373.15,7.39929068
170967.7419,373.15,7.589770485
179395.1613,373.15,7.861411796
183629.0323,373.15,7.945688057
192701.6129,373.15,8.249925193
199233.871,373.15,8.422074358
207298.3871,373.15,8.656950113
215967.7419,373.15,8.923748025
224919.3548,373.15,9.186023932
231733.871,373.15,9.360321523
240362.9032,373.15,9.61504575
247016.129,373.15,9.769368944
254637.0968,373.15,9.975354356
262177.4194,373.15,10.1751242
272177.4194,373.15,10.45561251
281612.9032,373.15,10.69996054
290806.4516,373.15,10.95626406
298709.6774,373.15,11.14161495
308508.0645,373.15,11.39519554
315483.871,373.15,11.56145172
322983.871,373.15,11.72122818
332177.4194,373.15,11.96049337
341814.5161,373.15,12.20409393
351653.2258,373.15,12.45432659
360846.7742,373.15,12.65913621
369637.0968,373.15,12.85677007
377782.2581,373.15,13.04582231
387016.129,373.15,13.24693891
393588.7097,373.15,13.36116156
403185.4839,373.15,13.58762967
414193.5484,373.15,13.85082236
422701.6129,373.15,14.02018145
433830.6452,373.15,14.27619652
441169.3548,373.15,14.43506747
451088.7097,373.15,14.64499863
463427.4194,373.15,14.92226958
471330.6452,373.15,15.09036512
478629.0323,373.15,15.22268192
488346.7742,373.15,15.42126137
500967.7419,373.15,15.71635312
508629.0323,373.15,15.86123753
518830.6452,373.15,16.0546349
530564.5161,373.15,16.32542602
537983.871,373.15,16.4223773
547137.0968,373.15,16.60273834
557258.0645,373.15,16.81233174
568790.3226,373.15,17.04365262
579435.4839,373.15,17.25662034
589032.2581,373.15,17.45028133
597419.3548,373.15,17.59364888
607258.0645,373.15,17.74893378
619193.5484,373.15,18.03208599
